media_item_id,ingest_timestamp,primary_title,secondary_title,artist_id,media_cover_url
546,2022-05-19 13:23:21.118552,Quem Vale Menos,Quem Vale Menos (Ao Vivo),,https://i.ytimg.com/vi/HVJWX1B9_lo/mqdefault.jpg
575,2022-05-19 13:13:15.50139,Bamb Agya,Bamb Agya,98,https://i.ytimg.com/vi/y-k_ofefdkk/hqdefault.jpg
589,2022-05-19 13:42:22.864977,Anitta - Faking Love (feat. Saweetie) [Official Music Video],Faking Love (feat. Saweetie),51,https://i.ytimg.com/vi/9r2_tj0K3yA/default.jpg
593,2022-05-19 12:31:22.41763,Lil Donald - Tomato - Lyric Video,Tomato,66,https://i.ytimg.com/vi/IBXu-Pd7678/default.jpg
600,2022-05-19 13:44:53.766827,Rihanna - Where Have You Been,Where Have You Been,29,https://i.ytimg.com/vi/HBxt_v0WF6Y/default.jpg
604,2022-05-19 12:19:28.560913,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",Leave The Door Open,154,https://i.ytimg.com/vi/adLGHcj_fmA/default.jpg
664,2022-05-19 13:44:44.598411,Camila Cabello - Don't Go Yet (Official Video - Extended Version),,,https://i.ytimg.com/vi/iFPkd-7AcDM/default.jpg
668,2022-05-19 13:44:43.783433,Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),Last Friday Night (T.G.I.F.),211,https://i.ytimg.com/vi/KlyXNRrsk4A/default.jpg
704,2022-05-19 13:23:22.358486,"Luísa Sonza, Mariah Angeliq - ANACONDA *o* ~~~",ANACONDA *o* ~~~,,https://i.ytimg.com/vi/iLTR0UyG2Yo/default.jpg
711,2022-05-19 13:23:22.886835,Henrique e Juliano - SENTIMENTALMENTE ESPERTO - DVD Manifesto Musical,,4,https://i.ytimg.com/vi/CbqAdDo2yCM/default.jpg
735,2022-05-19 12:32:13.457923,Eminem - Without Me (Official Music Video),Without Me,108,https://i.ytimg.com/vi/YVkUvmDQ3HY/default.jpg
742,2022-05-19 13:44:52.251493,The Black Eyed Peas - Where Is The Love? (Official Music Video),Where Is The Love?,173,https://i.ytimg.com/vi/WpYeekQkAdc/default.jpg
748,2022-05-19 13:44:52.635152,"Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video)",Sweet Dreams (Are Made Of This),69,https://i.ytimg.com/vi/qeMFqkcPYcg/default.jpg
765,2022-05-19 13:23:20.987532,Naiara Azevedo - 50 %  Part.  Marília Mendonça,50 por Cento,191,https://i.ytimg.com/vi/zhaTkKdovgM/default.jpg
799,2022-05-19 13:44:51.494821,GAYLE - abcdefu (Official Music Video),abcdefu,235,https://i.ytimg.com/vi/NaFd8ucHLuo/default.jpg
846,2022-05-19 13:23:22.592062,Gusttavo Lima - Quando Um Grande Amor Se Faz - Falando de Amor 2,Quando um Grande Amor Se Faz,189,https://i.ytimg.com/vi/mYurQ5ISswE/default.jpg
847,2022-05-19 13:42:22.739678,Tiësto & Ava Max - The Motto (Official Music Video),The Motto,90,https://i.ytimg.com/vi/1_4ELAxKrDc/default.jpg
849,2022-05-19 13:23:22.434149,Henrique e Juliano - VAI DERRAMANDO - DVD Manifesto Musical,,4,https://i.ytimg.com/vi/ZOdwBgtKv60/default.jpg
861,2022-05-19 13:44:53.112343,Pharrell Williams - Happy (Video),Happy,105,https://i.ytimg.com/vi/ZbZSe6N_BXs/default.jpg
905,2022-05-19 13:44:51.358854,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,Ice Cream,201,https://i.ytimg.com/vi/vRXZj0DzXIA/default.jpg
947,2022-05-19 13:44:45.11518,NIKI DEMAR - 9 Lives (Official Video),,,https://i.ytimg.com/vi/g-P4UEphlxM/default.jpg
996,2022-05-19 12:32:13.521733,Daddy Yankee x El Alfa x Lil Jon - Bombón (Official Video),BOMBÓN,228,https://i.ytimg.com/vi/55sOQtVd2uA/default.jpg
1001,2022-05-19 13:44:53.931568,Miley Cyrus - Party In The U.S.A. (Official Video),Party In The U.S.A.,136,https://i.ytimg.com/vi/M11SvDtPBhA/default.jpg
1012,2022-05-19 13:23:22.169603,Hugo e Guilherme - Oi Deus - DVD Próximo Passo,Oi Deus,,https://i.ytimg.com/vi/lB4_WAGqwJg/default.jpg
