"cm_track","track","isrc","cm_artist","artist"
15621165,"Roses - Zaxx Remix","USQX91503198",4796,"The Chainsmokers"
34569697,"You Are the Reason (Arr. for Guitar)","GBMNA2003894",5521,"Calum Scott"
12523678,"Amsterdam - Live In Sydney","GBAYE0301693",439,"Coldplay"
69883601,"I Really Want You (Radio Edit)","USAT21303083",2157,"James Blunt"
21859525,"When I'm Gone","FR0Z50036020",236,"Eminem"
15168976,"Last Friday Night (T.G.I.F.)","USCA21001264",2482,"Katy Perry"
31431152,"Qué No Se Dice de Mí","USDY41833856",644506,"Carolina Gaitán - La Gaita"
16780121,"Good Day - End Of The World Remix","USUM71710353",5332,"DNCE"
35337919,"Happy (From ""Despicable Me 2"") / Happy (Remix) [Mixed]","US23A1504690",2143,"Pharrell Williams"
31949528,"Perreo Pesau'","USSD12000500",224838,"Rauw Alejandro"
12814001,"The End","GBHMU1500081",4014,"Little Mix"
12486667,"Heartbeat Heartbeat - Remastered Version","GBARL0300580",44,"Eurythmics"
12486751,"We Two Are One - Remastered Version","GBARL0300666",44,"Eurythmics"
60638488,"Cupid (Feat. Gary Trainor)","US7F41000043",4913,"Meghan Trainor"
20322690,"Can't Get It Out","TCADS1896971",550577,"Tate McRae"
71023199,"Rio","QZNWR2183901",557257,"Dax"
18635295,"We Fly So Close","USAT21503089",47,"Phil Collins"
11000115,"Worn Out Blues","AUGFO0600202",2198,"Gotye"
65297204,"Let It Go (Recorded at Lightship 95 Studios, London)","USSM12108194",778014,"Mimi Webb"
20187402,"Got","GBARL1800882",213900,"Not3s"
29933670,"Confusing Girl","QZHN62054705",3644040,"grentperez"
32870321,"Lavandia","CA5KR2140053",3907,"Marshmello"
17768470,"Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC","USRC11703276",2619,"Miley Cyrus"
15052904,"I Go To The Rock","USAR19900979",247,"Whitney Houston"
15445197,"More Than That - Radio Mix","USJI10100102",160,"Backstreet Boys"
19215604,"Movement","USAT21802124",430760,"Oliver Tree"
